id,Class,Tags,Combined,Archetype,,Level,Class Ability,Description,Img
,Barbarian (UC),"[[""Barbarian (UC)""],[""Invulnerable Rager""]]",Barbarian (UC) (Invulnerable Rager),Invulnerable Rager,<id-00004,2,Invulnerability,"<p>At 2nd level, the invulnerable rager gains DR/- equal to half her barbarian level. This damage reduction is doubled against nonlethal damage. This ability replaces uncanny dodge, improved uncanny dodge, and damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00004,2,Jotungrip,"<p>At 2nd level, a titan mauler may choose to wield a two-handed melee weapon in one hand with a -2 penalty on attack rolls while doing so. The weapon must be appropriately sized for her, and it is treated as one-handed when determining the effect of Power Attack, Strength bonus to damage, and the like. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Jungle Rager""]]",Barbarian (UC) (Jungle Rager),Jungle Rager,<id-00006,3,Jungle Endurance,"<p>At 3rd level, a jungle rager gains a +1 bonus on Fortitude saves to resist the effects of hot weather and diseases. This bonus increases by +1 every 3 barbarian levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Superstitious""]]",Barbarian (UC) (Superstitious),Superstitious,<id-00012,7,Keen Senses,"<p>At 7th level, the superstitious barbarian gains low-light vision (triple normal vision range in dim light if she already has low-light vision). At 10th level, she gains darkvision 60 feet (or adds 60 feet to the range of any darkvision already possessed). At 13th level, she gains scent. At 16th level, she gains blindsense 30 feet. At 19th level, she gains blindsight 30 feet. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00006,3,Live Off the Land,"<p>At 3rd level, a wildborn can survive capably in the wilderness without any sort of manufactured equipment or gear. She adds half her barbarian level as a bonus on Survival checks to hunt or gather food and gains a +1 bonus on Fortitude saves to resist the effects of extreme temperatures or other environmental effects; the Fortitude save bonus increases by 1 at 6th level and every 3 levels thereafter.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00026,3,Lockjaw,"<p>At 3rd level, a feral gnasher gains the grab ability with her bite attack. A feral gnasher can use this ability on a creature up to one size category larger than she is. This replaces trap sense +1.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sea Reaver""]]",Barbarian (UC) (Sea Reaver),Sea Reaver,<id-00002,1,Marine Terror,"<p>A sea reaver can hold her breath for a number of rounds equal to four times her Constitution score. In addition, a sea reaver can move normally though squares of standing water or bog that is 1 foot deep. It does not cost her extra movement to traverse these terrains. Lastly, a sea reaver ignores the normal cover bonus to AC when attacking creatures that are partially immersed in water. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutish Swamper""]]",Barbarian (UC) (Brutish Swamper),Brutish Swamper,<id-00002,1,Marsh March,"<p>A brutish swamper can move through the underbrush and muddy terrain of bogs and swamps at her normal speed without taking damage or suffering other impairments. Briars, mud, thorns, and overgrown areas that have been magically manipulated to impede motion, however, still affect her.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00006,3,Massive Weapons,"<p>At 3rd level, a titan mauler becomes skilled in the use of massive weapons looted from her titanic foes. She can use two-handed weapons meant for creatures one size category larger, but the penalty for doing so is increased by 4. However, the attack roll penalty for using weapons too large for her size is reduced by 1, and this reduction increases by 1 for every three levels beyond 3rd (to a minimum of 0). This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Shoanti Burn Rider""]]",Barbarian (UC) (Shoanti Burn Rider),Shoanti Burn Rider,<id-00009,4,Mount,"<p>At 4th level, a burn rider gains a loyal mount. This ability functions like the druid's animal companion ability (as described in the nature bond class feature), except that the burn rider always gains a horse or pony (though she can gain additional options at the GM's discretion) and her effective druid level is equal to her Shoanti burn rider level - 3. This ability replaces the rage powers gained at 4th, 8th, 12th, and 16th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Savage Barbarian""]]",Barbarian (UC) (Savage Barbarian),Savage Barbarian,<id-00006,3,Naked Courage,"<p>At 3rd level, the savage barbarian gains a +1 dodge bonus to AC and a +1 morale bonus on saving throws against fear when wearing no armor (shields are allowed). This bonus increases by +1 for every six levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Savage Barbarian""]]",Barbarian (UC) (Savage Barbarian),Savage Barbarian,<id-00012,7,Natural Toughness,"<p>At 7th level, the savage barbarian gains a +1 natural armor bonus to AC when wearing no armor (shields are allowed). This bonus increases by +1 for every three levels beyond 7th. This ability replaces damage reduction.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sharptooth""]]",Barbarian (UC) (Sharptooth),Sharptooth,<id-00006,3,Ocean Breath,"<p>At 3rd level, a sharptooth counts her Constitution score as 1 higher for the purposes of holding her breath. She also gains a +1 bonus on Constitution checks to continue holding her breath. This bonus and the addition to her effective Constitution score both increase by 1 at 6th level and every 3 levels thereafter, to a maximum bonus of +6 at 18th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Fearsome Defender""]]",Barbarian (UC) (Fearsome Defender),Fearsome Defender,<id-00004,2,Off the Leash,"<p>Beginning at 2nd level, a fearsome defender simmers on the edge of bloody combat. Whenever she begins a rage, she can also draw an unconcealed weapon as part of the free action to begin raging.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mad Dog""]]",Barbarian (UC) (Mad Dog),Mad Dog,<id-00004,2,Pack Tactics,"<p>At 2nd level, a mad dog and her war beast gain a +4 bonus on attack rolls while flanking the same opponent (instead of the normal +2 bonus). This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mad Dog""]]",Barbarian (UC) (Mad Dog),Mad Dog,<id-00003,4,Rage,"<p>A mad dog gains this ability at 4th level, except that her effective barbarian level for the ability is equal to her barbarian level - 3.</p><p>A barbarian can call upon inner reserves of strength and ferocity, granting her additional combat prowess. At 1st level, a barbarian can rage for a number of rounds per day equal to 4 + her Constitution modifier. For each level after 1st she possesses, the barbarian can rage for 2 additional rounds per day. Temporary increases to Constitution, such as that gained from bear's endurance, do not increase the total number of rounds that a barbarian can rage per day. A barbarian can enter a rage as a free action. The total number of rounds of rage per day is renewed after resting for 8 hours, although these hours need not be consecutive.</p><p>While in a rage, a barbarian gains a +2 bonus on melee attack rolls, melee damage rolls, thrown weapon damage rolls, and Will saving throws. In addition, she takes a -2 penalty to Armor Class. She also gains 2 temporary hit points per Hit Die. These temporary hit points are lost first when a character takes damage, disappear when the rage ends, and are not replenished if the barbarian enters a rage again within 1 minute of her previous rage. While in a rage, a barbarian cannot use any Charisma-, Dexterity-, or Intelligence-based skill (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration (such as spellcasting).</p><p>A barbarian can end her rage as a free action, and is fatigued for 1 minute after a rage ends. A barbarian can't enter a new rage while fatigued or exhausted, but can otherwise enter a rage multiple times per day. If a barbarian falls unconscious, her rage immediately ends.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wild Rager""]]",Barbarian (UC) (Wild Rager),Wild Rager,<id-00008,5,Rage Conversion,"<p>At 5th level, a wild rager who fails a saving throw against any mind-affecting effect can attempt a new saving throw at the beginning of her next turn. If the save succeeds, that effect ends and she instead rages and becomes confused as noted above. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Pack Rager""]]",Barbarian (UC) (Pack Rager),Pack Rager,<id-00011,8,Rage power,"<p>At 2nd level and every 4 levels thereafter, the pack rager can take a bonus teamwork feat. This teamwork feat must also be a combat feat.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Brute""]]",Barbarian (UC) (Drunken Brute),Drunken Brute,<id-00002,1,Raging Drunk,"<p>While raging, the drunken brute can drink a potion, or a tankard of ale or similar quantity of alcohol, as a move action that does not provoke attacks of opportunity. A potion has its normal effect, while an alcoholic drink allows the barbarian to maintain her rage that round without expending a round of rage for the day (instead of the alcohol's normal effects). For each alcoholic drink consumed while raging, the barbarian is nauseated for 1 round when her rage expires, in addition to the normal fatigue that follows a rage. Tireless rage does not negate this nauseated condition but the internal fortitude rage power does. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Raging Cannibal""]]",Barbarian (UC) (Raging Cannibal),Raging Cannibal,<id-00012,6,Razor-Toothed Fury,"<p>At 6th level, a raging cannibal's bite becomes even more fearsome. When using her bite attack, the raging cannibal can take a -1 penalty on her attack roll to add 2 points of bleed damage to the damage dealt. At 10th level and every 4 levels thereafter, the attack penalty increases by 1 and the bleed damage increases by 2 points.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Armored Hulk""]]",Barbarian (UC) (Armored Hulk),Armored Hulk,<id-00006,3,Resilience of Steel,"<p>At 3rd level, an armored hulk is able to use her armor to help avoid deadly hits. While wearing heavy armor, she gains a +1 bonus to AC that applies only on critical hit confirmation rolls. This bonus increases by +1 every 3 levels beyond 3rd (maximum +6 at 18th level). This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00002,1,Savage Bite,"<p>At 1st level, a feral gnasher gains a savage bite attack. This is a primary natural attack that deals 1d4 points of damage. If the goblin already has the hard head, big teeth racial trait, the damage increases to 1d6. At 10th level, the damage from a feral gnasher's bite increases to 1d6 (or 1d8 if the goblin has the hard head, big teeth racial trait) and deals &#215;3 damage on a critical hit. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Breaker""]]",Barbarian (UC) (Breaker),Breaker,<id-00002,1,Savage Rapport,"<p>At 1st level, a beastkin berserker gains a spiritual connection to a specific kind of creature with the animal type (such as a badger or a triceratops). She adds half her level (minimum 1) on Handle Animal, Intimidate, and Sense Motive checks involving the chosen type of animal.</p><p>At 5th level and every 5 levels thereafter (10th, 15th, and 20th levels), the beastkin berserker can select an additional kind of animal to which these bonuses apply.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sea Reaver""]]",Barbarian (UC) (Sea Reaver),Sea Reaver,<id-00006,3,Savage Sailor,"<p>At 3rd level, a sea reaver gains a +1 bonus on Acrobatics, Climb, Profession (sailor), Survival, and Swim checks made in aquatic terrain, including aboard a ship or along shorelines. These bonuses improve by +1 every three levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Scarred Rager""]]",Barbarian (UC) (Scarred Rager),Scarred Rager,<id-00006,3,Scarification,"<p>At 3rd level, a scarred rager can ignore 1 point of bleed damage per round. This amount increases by 1 every three levels beyond 3rd. At 15th level, a scarred rager can ignore 1 bleed effect each round. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sharptooth""]]",Barbarian (UC) (Sharptooth),Sharptooth,<id-00004,2,Scent of Blood,"<p>At 2nd level, a sharptooth gains scent as per the universal monster rule. At 5th level, she also gains keen scent as per universal monster rule.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Fearsome Defender""]]",Barbarian (UC) (Fearsome Defender),Fearsome Defender,<id-00006,3,Silent Threat,"<p>At 3rd level, a fearsome defender exudes hostility, creating a threatening atmosphere in her presence. The fearsome defender gains a +1 bonus on Intimidate checks, and the DCs of Intimidate checks to demoralize her allies within 30 feet increase by 1. Both the bonus and the increase to DCs increase by 1 at 6th level and every 3 barbarian levels thereafter.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Superstitious""]]",Barbarian (UC) (Superstitious),Superstitious,<id-00006,3,Sixth Sense,"<p>At 3rd level, the superstitious barbarian gains a +1 bonus on initiative and a +1 insight bonus to AC during surprise rounds. This bonus increases by +1 for every three levels after 3rd. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Hurler""]]",Barbarian (UC) (Hurler),Hurler,<id-00002,1,Skilled Thrower,<p>The hurler is skilled at throwing objects in combat. Increase the range increment of any thrown weapon or object by 10 feet.</p>,icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Giant Stalker""]]",Barbarian (UC) (Giant Stalker),Giant Stalker,<id-00004,2,Smell Giants,"<p>A 2nd level, a giant stalker gains the scent special ability, but with regard only to humanoids with the giant subtype.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Rager""]]",Barbarian (UC) (Drunken Rager),Drunken Rager,<id-00004,2,Staggering Evasion,"<p>At 2nd level, as long as she has at least 1 drunken rage point, a drunken rager gains evasion, as the rogue class feature of the same name. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutish Swamper""]]",Barbarian (UC) (Brutish Swamper),Brutish Swamper,<id-00006,3,Stubborn,"<p>At 3rd level, a brutish swamper resists any attempts to change her attitude or compel her to action. Diplomacy and Intimidate checks against her take a -2 penalty, and no result can shift her attitude more than one step in a 24-hour period. These penalties increase by 2 for every 3 levels the brutish swamper has beyond 3rd.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Cave Dweller""]]",Barbarian (UC) (Cave Dweller),Cave Dweller,<id-00012,7,Sun Walker,"<p>At 7th level, a cave dweller gains a +1 dodge bonus to AC and on saving throws against effects with the light descriptor or that produce bright or sudden light. Any penalties on attack rolls, saving throws, or skill checks because of bright light are reduced by 1. At 10th level and every 3 levels after 10th, the bonus to AC and saving throws, as well as the reduction of light-based penalties, increases by 1.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sea Reaver""]]",Barbarian (UC) (Sea Reaver),Sea Reaver,<id-00008,5,Sure-Footed,"<p>At 5th level, a sea reaver takes no penalties when moving across slick surfaces, whether natural or magical (e.g., grease, ice storm, and sleet storm). She is not at risk of falling, is not denied her Dexterity bonus when moving across such areas, and does not treat them as difficult terrain. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Sharptooth""]]",Barbarian (UC) (Sharptooth),Sharptooth,<id-00002,1,Swim Like a Fish,"<p>A sharptooth gains a swim speed of 10 feet. At 5th level and every 5 levels thereafter, her swim speed increases by 5 feet.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Pack Hunter""]]",Barbarian (UC) (Pack Hunter),Pack Hunter,<id-00010,6,Sympathetic Rage,"<p>At 6th level, if an ally within 30 feet is bloodraging or raging, a pack hunter counts as raging even if knocked unconscious. She has to have been raging when incapacitated to maintain her rage, and she ceases raging normally if she depletes her maximum number of rounds of rage in a day.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Scarred Rager""]]",Barbarian (UC) (Scarred Rager),Scarred Rager,<id-00002,1,Terrifying Visage,"<p>A scarred rager adds 1/2 her barbarian level on Intimidate checks against humanoids who are not members of barbarian tribes. When dealing with barbarians, the scarred rager may choose to add this bonus on Diplomacy checks instead. The DC of any fear effect created by the scarred rager also increases by 1. This ability replaces fast movement.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mad Dog""]]",Barbarian (UC) (Mad Dog),Mad Dog,<id-00020,14,Throat Cutter,"<p>At 14th level, whenever her war beast succeeds at a bull rush, drag, grapple, overrun, or trip combat maneuver against an opponent threatened by the mad dog, a mad dog can take an attack of opportunity against that opponent. This ability replaces indomitable will.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Cave Dweller""]]",Barbarian (UC) (Cave Dweller),Cave Dweller,<id-00002,1,Tight Tunnels,"<p>Cave dwellers pursue prey through the winding tunnels of the deep, which rarely accommodate open sprints. A cave dweller can make a single turn up to 90 degrees while running (though not while charging). Additionally, a cave dweller takes no penalties to movement speed while squeezing.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Titan Mauler""]]",Barbarian (UC) (Titan Mauler),Titan Mauler,<id-00020,14,Titanic Rage,"<p>At 14th level, a titan mauler may choose to gain the benefits of enlarge person when she enters a rage. While using titanic rage, she must spend 2 rounds of rage per round, and she becomes exhausted rather than fatigued when the rage ends. This ability replaces indomitable will.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Drunken Rager""]]",Barbarian (UC) (Drunken Rager),Drunken Rager,<id-00006,3,Tolerance,"<p>At 3rd level, as long as she has at least 1 drunken rage point, a drunken rager gains a +1 bonus on saves against effects that would nauseate, poison, or sicken her, as well as saves to avoid addiction or other ill effects associated with consuming alcohol. This bonus increases by 1 at 6th level and every 3 levels thereafter. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Scarred Rager""]]",Barbarian (UC) (Scarred Rager),Scarred Rager,<id-00004,2,Tolerance,"<p>At 2nd level, a scarred rager who fails a save against an effect that causes her to become nauseated, sickened, fatigued, or exhausted can make a second save to negate the effect on the start of her next turn. Only one additional save is allowed. If the effect does not allow a saving throw, its duration is halved instead (minimum of 1 round). This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""True Primitive""]]",Barbarian (UC) (True Primitive),True Primitive,<id-00006,3,Trophy Fetish,"<p> true primitive collects teeth, bones, hair, and other trophies from vanquished enemies, representing their power and strength. At 3rd level, a true primitive can attach a trophy fetish to one of the traditional true primitive weapons listed above. When wielding that weapon, the true primitive gains a +1 morale bonus on damage rolls. Furthermore, if that weapon has the fragile property, once per day, the true primitive can ignore the effects of a single natural 1 roll. A trophy fetish can also be attached to a suit of hide or bone armor, granting the true primitive a +1 morale bonus on saving throws. Furthermore, if that armor has the fragile property, once per day, the true primitive can chose not to have the armor break on the confirmation of a critical hit made against her. Every five levels beyond 3rd, a true primitive can use an additional trophy fetish. Multiple trophy fetishes can be attached to the same armor or weapon; their effects stack. A trophy fetish can be sundered (hardness 5, 1 hit point) but is not damaged by area attacks or attacks that do not specifically target it. It has no effect if attached to other types of weapons or armor. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Cave Dweller""]]",Barbarian (UC) (Cave Dweller),Cave Dweller,<id-00006,3,Tunnel Vision,"<p>At 3rd level, a cave dweller's senses become sharp in the dark. She gains darkvision to a range of 60 feet and a +1 bonus on Perception checks to detect ambushes, movement, and sound while in darkness. This bonus increases by 1 at 6th level and every 3 levels thereafter.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wild Rager""]]",Barbarian (UC) (Wild Rager),Wild Rager,<id-00031,1,Uncontrolled Rage,"<p>A wild rager's rage functions as normal, except that when she reduces a creature to 0 or fewer hit points, she must attempt a Will save (DC 10 + 1/2 the barbarian's level + the barbarian's Constitution modifier) or become confused. For the remainder of her current turn, she attacks the nearest creature other than herself. On the following round, refer to the confusion spell to determine her actions. At the end of this round, and each round thereafter, she can attempt a new saving throw to end the confusion effect. The rounds during which she is confused do not count against the rounds she has spent raging that day, but she cannot end her rage voluntarily, nor can she use rage powers while confused.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Mad Dog""]]",Barbarian (UC) (Mad Dog),Mad Dog,<id-00005,1,War Beast,"<p>At 1st level, a mad dog gains the service of an animal companion, using the barbarian's level as her effective druid level. This ability replaces the rage powers gained at 2nd, 6th, 10th, 14th, and 18th level.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00001,1,Weapon and Armor Proficiency,<p>A barbarian is proficient with greatclub and light armor</p>,icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""True Primitive""]]",Barbarian (UC) (True Primitive),True Primitive,<id-00001,1,Weapon and Armor Proficiency,"<p>A true primitive is proficient with hide armor and armors made from bone. A true primitive is also proficient with bone shields and the following weapons: battleaxe, blowgun, club, greatclub, handaxe, longspear, shortspear, sling, and spear.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wildborn""]]",Barbarian (UC) (Wildborn),Wildborn,<id-00001,1,Weapon and Armor Proficiency,"<p>A wildborn is proficient with leather and hide armors (but not shields) and all simple weapons that can be crafted from bone, stone, or wood. In addition, a wildborn gains Improved Unarmed Strike and Catch Off-Guard as bonus feats at 1st level. If she uses any other kind of weapon or armor, she loses her abilities from this archetype (except illiteracy) for the next 24 hours</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Feral Gnasher""]]",Barbarian (UC) (Feral Gnasher),Feral Gnasher,<id-00017,12,Wicked Improvisation,"<p>At 12th level, a feral gnasher becomes more capable with improvised weapons and natural attacks. The feral gnasher gains a +1 competence bonus on damage rolls when using natural attacks or improvised weapons while raging. At 14th level and every two levels thereafter, the damage bonus increases by +1. This increase is not precision damage and is thus multiplied on a critical hit. This ability replaces trap sense +4.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Wild Rager""]]",Barbarian (UC) (Wild Rager),Wild Rager,<id-00004,2,Wild Fighting,"<p>At 2nd level, even when not raging, wild ragers often fight with reckless, savage abandon. A wild rager using the full-attack action can make one extra attack per round at her highest base attack bonus. Until the beginning of her next turn, however, she takes a -2 penalty on attack rolls and -4 penalty to AC. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutish Swamper""]]",Barbarian (UC) (Brutish Swamper),Brutish Swamper,<id-00010,6,Wrastlin,"<p>At 6th level, while raging, a brutish swamper gains a +2 bonus to her CMD against grapple combat maneuvers and a +2 bonus on damage rolls made as part of successful grapple combat maneuver checks.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutal Pugilist	""]]",Barbarian (UC) (Brutal Pugilist),Brutal Pugilist,<id-00008,5,Improved Savage Grapple,"<p>At 5th level, the brutal pugilist takes no penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. She also is treated as one size larger than her actual size when determining whether she can be grappled using the grab ability or swallowed by another creature. This ability replaces improved uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutal Pugilist	""]]",Barbarian (UC) (Brutal Pugilist),Brutal Pugilist,<id-00004,2,Savage Grapple,"<p>At 2nd level, the brutal pugilist takes only half the normal penalties to Dexterity, attack rolls, and combat maneuver checks when she has the grappled condition. She can make an attack of opportunity against creatures trying to grapple her even if they possess the Improved Grapple feat or the grab special attack. If she hits with this attack of opportunity, she gains a +2 circumstance bonus to her CMD against the grapple attempt. She cannot make these attacks of opportunity once a grapple has succeeded. This ability replaces uncanny dodge.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
,Barbarian (UC),"[[""Barbarian (UC)""],[""Brutal Pugilist	""]]",Barbarian (UC) (Brutal Pugilist),Brutal Pugilist,<id-00006,3,Pit Fighter,"<p>At 3rd level, the brutal pugilist has learned combat tricks from fighting in pit brawls and gladiatorial arenas. She selects one combat maneuver and gains a +1 insight bonus on her CMB or to her CMD in that maneuver. This bonus increases to +2 if the barbarian is wearing no armor (shields are allowed). At every three levels after 3rd, the barbarian may select another combat maneuver and add this bonus on her CMB or to her CMD. This bonus can be applied to each maneuver no more than twice, once on CMB and once to CMD. This ability replaces trap sense.</p>",icons/weapons/axes/axe-double-engraved-runes.webp
